ee_label_1,persuasion_result
agree-donation,Compliance
confirm-donation,Compliance
positive-reaction-to-donation,Compliance
positive-to-inquiry,Compliance
acknowledgement,Neutral
ask-donation-procedure,Neutral
ask-org-info,Neutral
ask-persuader-donation-intention,Neutral
closing,Neutral
greeting,Neutral
neutral-reaction-to-donation,Neutral
neutral-to-inquiry,Neutral
off-task,Neutral
other,Neutral
personal-related-inquiry,Neutral
provide-donation-amount,Neutral
task-related-inquiry,Neutral
thank,Neutral
you-are-welcome,Neutral
disagree-donation,Resistance
disagree-donation-more,Resistance
negative-reaction-to-donation,Resistance
negative-to-inquiry,Resistance
